measureId,stratumName,shortDescription,longDescription,initialPopulationUuid,denominatorUuid,numeratorUuid,denominatorExclusionUUID,denominatorExceptionUUID
,,,,,,,,
,,,,,,,,
7,LVSD,LVEF prescribed beta-blocker therapy,Percentage of patients with a diagnosis of CAD or history of cardiac surgery who have a current or prior LVEF < 40% who were prescribed beta-blocker therapy,,,B0B86C82-753C-41B6-ABC0-C40605738B19,,
7,priorMI,Prior MI prescribed beta-blocker therapy,Percentage of patients with a diagnosis of CAD or history of cardiac surgery who have a prior (within the past 3 years) myocardial infarction who were prescribed beta-blocker therapy,,,8C4B62DB-A300-4FAC-ACE1-9DBADC125338,,
9,>=84Days,Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). ,Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). ,,,E93F4D1A-F0BD-4F3E-A731-7F569B2467CB,,
9,>=180Days,Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months),Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months),,,731C990A-340C-49D4-A87B-A7C3B839860D,,
46,18-64,Med Rec 18 - 64 years and older,Medication Reconciliation Post-Discharge: 18-64 years of age,,,,,
46,65+,Med Rec 65 years and older,Medication Reconciliation Post-Discharge: 65 years and older,,,,,
46,overall,Med Rec all patients 18 years and older,Medication Reconciliation Post-Discharge:All patients 18 years of age and older,,,,,
160,CD4<200/mm3,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 200 cells/mm3,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 200 cells/mm3,,,1C3A2E69-608E-4223-91F1-B17856C5DF3F,,
160,CD4<500/mm3OrCD4<15%,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 500 cells/mm3 or a CD4 percentage below 15%,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 500 cells/mm3 or a CD4 percentage below 15%,,,EF777C94-7CA0-4894-A06B-7E64F6027A4C,,
160,atDiagnosis,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis at the time of diagnosis of HIV,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis at the time of diagnosis of HIV,,,56360B75-89AA-416C-AD4A-6E38FF0EE138,,
226,screenedForUse,Patients screened for tobacco use one or more times,Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within 24 months  ,,,1356052C-4C82-4859-85B4-D04ACF269564,,
226,overall,"Screened for tobacco, identified as tobacco user that received cessation.",Percentage of patients aged 18 years and older who were screened for tobacco use and identified as a tobacco user who received tobacco cessation intervention  ,,,D10D6789-32F2-4A72-9588-611C4765FC13,,
226,tobacco,Patients screened for tobacco use one or more times and received cessation,Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within 24 months AND who received tobacco cessation intervention if identified as a tobacco user ,,,98958164-44A0-4759-AF5C-86EFB56AF1BA,,
238,overall,Ordered at least one high-risk ,Percentage of patients who were ordered at least one high-risk medication,,,A5797141-A910-4FA0-8A5F-32FB348848A0,,
238,2+,Ordered at least two high-risk,Percentage of patients who were ordered at least two of the same high-risk medication,,,51CCFD8B-C7B1-492F-88DE-041AD08FDAED,,
239,BMI,"Patients who had a height, weight and body mass index (BMI) percentile recorded during the measurement period","Patients who had a height, weight and body mass index (BMI) percentile recorded during the measurement period",,,909538E9-AA38-46E2-AA0D-AA197025B3DA,,
239,nutrition,Patients who had counseling for nutrition during a visit that occurs during the measurement period,Patients who had counseling for nutrition during a visit that occurs during the measurement period,,,65E4A114-23DD-4DBA-AB9A-4AAB2BB03CC1,,
239,physicalActivity,Patients who had counseling for physical activity during a visit that occurs during the measurement period,Patients who had counseling for physical activity during a visit that occurs during the measurement period,,,3E62E73D-886D-48AD-89E2-7321847EF4B7,,
305,14DaysOfDiagnosis,Patients who initiated treatment within 14 days of the diagnosis,Patients who initiated treatment within 14 days of the diagnosis,,,22DE67FC-79C0-4725-BDE3-3C9B0A1ACAF7,,
305,30DaysOfVisit,Patients who initiated treatment and who had two or more additional services with an AOD diagnosis within 30 days of the initiation visit,Patients who initiated treatment and who had two or more additional services with an AOD diagnosis within 30 days of the initiation visit,,,C3D3C7F3-CADA-45E9-A5AA-A05A3C04A76A,,
348,30,Implantable Cardioverter-Defibrillator complications or mortality at 30 days,Complications or mortality at 30 days,,,,,
348,90,Implantable Cardioverter-Defibrillator complications at 90 days,Complications at 90 days,,,,,
366,visitWithin30Days,Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.,Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.,,,42F25D08-0B43-4388-B256-BA276FDE48B8,,
366,visitAndFollowups,"Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended.","Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended.",,,226956ED-22B1-4722-9179-EBD7C4AC9ECC,,
371,4MonthsOfEnd,"Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the end of the measurement period that leads to a diagnosis of major depression including remission or dysthymia","Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the end of the measurement period that leads to a diagnosis of major depression including remission or dysthymia",,,539B0A53-F5B0-47CB-887E-392792E9D4ED,,
371,4&8MonthsAfterStart,"Office visit, Psych visit, or Face to Face Interaction (No ED) between 4 and 8 months after the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia","Office visit, Psych visit, or Face to Face Interaction (No ED) between 4 and 8 months after the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia",,,92D313A7-3A3D-44EC-8A94-103CC0003A30,,
371,4MonthsOfStart,"Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia","Office visit, Psych visit, or Face to Face Interaction (No ED) within 4 months of the start of the measurement period that leads to a diagnosis of major depression including remission or dysthymia",,,9FCE046B-5EF9-4A19-9D22-D3A6518EDA51,,
391,30days,Discharges received follow up 30 days,The percentage of discharges for which the patient received follow-up within 30 days after discharge,,,,,
391,overall,Discharges received follow up 7 days,The percentage of discharges for which the patient received follow-up within 7 days after discharge,,,,,
392,18-64F,Cardiac tamponade/pericardiocentesis females 18-64 years,Females 18-64 years of age,,,,,
392,18-64M,Cardiac tamponade/pericardiocentesis males 18-64 years,Males 18-64 years of age,,,,,
392,65+F,Cardiac tamponade/pericardiocentesis females 65 years and older,Females 65 years of age and older,,,,,
392,65+M,Cardiac tamponade/pericardiocentesis males 65 years and older,Males 65 years of age and older ,,,,,
392,overall,Overall cardiac tamponade/pericardiocentesis female and males 18 years and older,Overall percentage of patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days,,,,,
394,meningococcal,One dose of meningococcal vaccine,Patients who had one dose of meningococcal vaccine on or between the patient's 11th and 13th birthdays,,,,,
394,Tdap,"One tetanus, diphtheria toxoids and acellular pertussis vaccine","Patients who had one tetanus, diphtheria toxoids and acellular pertussis vaccine (Tdap) on or between the patient's 10th and 13th birthdays",,,,,
394,HPV,Completed the HPV vaccine ,Patients who have completed the HPV vaccine with defferent dates of service on or between the patient's 9th and 13th birthdays,,,,,
394,overall,"Compliant for Meningococcal, Tdap and HPV","All patients who are compliant for Meningococcal, Tdap and HPV during the specified timeframes",,,,,
398,overall,"5-50 years well-controlled asthma, without elevated risk of exacerbation","Overall Percentage for patients (aged 5-50 years) with well-controlled asthma, without elevated risk of exacerbation",,,,,
398,5-17,"5-17 years well-controlled asthma, without elevated risk of exacerbation","Percentage of pediatric patients (aged 5-17 years) with well-controlled asthma, without elevated risk of exacerbation.",,,,,
398,18-50,"18-50 years well-controlled asthma, without elevated risk of exacerbation","Percentage of adult patients (aged 18-50 years) with well-controlled asthma, without elevated risk of exacerbation",,,,,
398,ACT5-17,5 to 17 asthma well-controlled specified asthma control tool result,Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 5 to 17 with Asthma,,,,,
398,ACT18-50,18 to 50 asthma well-controlled specified asthma control tool result,Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 18 to 50 with Asthma ,,,,,
398,lowRisk5-17,5 to 17 with asthma elevated risk of exacerbation,Patient not at elevated risk of exacerbation for patients 5 to 17 with Asthma,,,,,
398,lowRisk18-50,18 to 50 with asthma elevated risk of exacerbation,Patient not at elevated risk of exacerbation for patients 18 to 50 with Asthma,,,,,
411,12-17,The percentage of adolescent patients 12 to 17 years of age with major depression or dysthymia who reached remission six months (+/- 60 days) after an index event date,,,,,,
411,18+,The percentage of  adult patients 18 years of age or older with major depression or dysthymia who reached remission six months (+/- 60 days) after an index event date,,,,,,
467,<1,"Birth to 1 year of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool","Children in the eligible population who turned 1 during the performance period. (Birth to 1 year of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday",,,,,
467,1-2,"Children >1 to 2 who were screened for risk of developmental, behavioral and social delays using a standardized tool","Children in the eligible population who turned 2 during the performance period (> 1 year to 2 years of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday",,,,,
467,2-3,"Children >2 to 3 who were screened for risk of developmental, behavioral and social delays using a standardized tool","Children in the eligible population who turned 3 during the performance period ( > 2 years to 3 years of age) who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday",,,,,
467,overall,"Total Performance Rate based on all children who turned 1, 2, or 3 during the performance period who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday, i.e., the sum of denominators 1, 2, and 3.","Total Performance Rate based on all children who turned 1, 2, or 3 during the performance period who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report within 12 months preceding or on their birthday, i.e., the sum of denominators 1, 2, and 3.",,,,,
370,12-17,"Percentage of adolescent patients (aged 12-17 years) with a diagnosis of major depression or dysthymia and an
initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve
months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5.",,,,F4580E7F-EB6C-42AB-93A8-9AF1A4FD46EE,,
370,18+,"Percentage of adult patients (aged 18 years or older) with a diagnosis of major depression or dysthymia and an
initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve
months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5.",,,,,,
